2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
20-24,"18,774","8,209","10,565","6,889","3,160","3,729","11,885","5,049","6,836",,"36,294","15,407","20,887","8,480","3,515","4,965","27,814","11,892","15,922",,,,,,,,,,,,,,,
25-29,"18,227","8,578","9,649","6,766","3,429","3,337","11,461","5,149","6,312",,"30,649","12,578","18,071","7,883","3,274","4,609","22,766","9,304","13,462",,,,,,,,,,,,,,,
30-34,"15,264","7,856","7,408","5,614","2,986","2,628","9,650","4,870","4,780",,"27,038","12,032","15,006","7,324","3,607","3,717","19,714","8,425","11,289",,,,,,,,,,,,,,,
35-39,"11,067","6,242","4,825","4,006","2,214","1,792","7,061","4,028","3,033",,"23,369","11,340","12,029","5,781","3,046","2,735","17,588","8,294","9,294",,,,,,,,,,,,,,,
40-44,"7,659","4,312","3,347","2,898","1,568","1,330","4,761","2,744","2,017",,"17,843","9,486","8,357","3,912","2,052","1,860","13,931","7,434","6,497",,,,,,,,,,,,,,,
45-49,"4,589","2,589","2,000","1,927","1,056",871,"2,662","1,533","1,129",,"13,553","7,050","6,503","3,322","1,606","1,716","10,231","5,444","4,787",,,,,,,,,,,,,,,
50-54,"3,589","1,932","1,657","1,523",798,725,"2,066","1,134",932,,"8,998","5,062","3,936","2,176","1,159","1,017","6,822","3,903","2,919",,,,,,,,,,,,,,,
55-59,"1,955","1,001",954,919,475,444,"1,036",526,510,,"4,717","2,755","1,962","1,201",697,504,"3,516","2,058","1,458",,,,,,,,,,,,,,,
60-64,"1,872",886,986,886,440,446,986,446,540,,"3,938","2,099","1,839","1,088",572,516,"2,850","1,527","1,323",,,,,,,,,,,,,,,
65-69,"1,044",520,524,550,284,266,494,236,258,,"1,889",965,924,572,324,248,"1,317",641,676,,,,,,,,,,,,,,,
70-74,"1,058",502,556,563,286,277,495,216,279,,"1,808",822,986,614,313,301,"1,194",509,685,,,,,,,,,,,,,,,
75-79,435,209,226,243,128,115,192,81,111,,691,300,391,211,114,97,480,186,294,,,,,,,,,,,,,,,
80+,790,342,448,442,213,229,348,129,219,,"1,224",465,759,442,185,257,782,280,502,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 53.2 Mjini District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 53.2 Mjini District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"205,870","99,248","106,622",0,0,0,"205,870","99,248","106,622",,"219,671","104,352","115,319",0,0,0,"219,671","104,352","115,319",,,,,,,,,,,,,,,
0-4,"26,638","13,312","13,326",0,0,0,"26,638","13,312","13,326",,"27,707","13,730","13,977",0,0,0,"27,707","13,730","13,977",,,,,,,,,,,,,,,
9-May,"26,170","12,659","13,511",0,0,0,"26,170","12,659","13,511",,"25,463","12,360","13,103",0,0,0,"25,463","12,360","13,103",,,,,,,,,,,,,,,
4-Oct,"24,146","11,517","12,629",0,0,0,"24,146","11,517","12,629",,"25,358","12,423","12,935",0,0,0,"25,358","12,423","12,935",,,,,,,,,,,,,,,
15-19,"23,061","10,748","12,313",0,0,0,"23,061","10,748","12,313",,"24,825","11,449","13,376",0,0,0,"24,825","11,449","13,376",,,,,,,,,,,,,,,
20-24,"24,887","12,022","12,865",0,0,0,"24,887","12,022","12,865",,"25,228","11,460","13,768",0,0,0,"25,228","11,460","13,768",,,,,,,,,,,,,,,
25-29,"20,554","10,219","10,335",0,0,0,"20,554","10,219","10,335",,"20,081","9,556","10,525",0,0,0,"20,081","9,556","10,525",,,,,,,,,,,,,,,
30-34,"14,322","6,802","7,520",0,0,0,"14,322","6,802","7,520",,"15,668","7,423","8,245",0,0,0,"15,668","7,423","8,245",,,,,,,,,,,,,,,
35-39,"11,183","5,047","6,136",0,0,0,"11,183","5,047","6,136",,"12,670","5,895","6,775",0,0,0,"12,670","5,895","6,775",,,,,,,,,,,,,,,
40-44,"8,989","4,149","4,840",0,0,0,"8,989","4,149","4,840",,"10,135","4,647","5,488",0,0,0,"10,135","4,647","5,488",,,,,,,,,,,,,,,
45-49,"6,895","3,414","3,481",0,0,0,"6,895","3,414","3,481",,"9,360","3,681","5,679",0,0,0,"9,360","3,681","5,679",,,,,,,,,,,,,,,
50-54,"5,916","3,072","2,844",0,0,0,"5,916","3,072","2,844",,"6,852","3,355","3,497",0,0,0,"6,852","3,355","3,497",,,,,,,,,,,,,,,
55-59,"3,687","1,994","1,693",0,0,0,"3,687","1,994","1,693",,"4,841","2,554","2,287",0,0,0,"4,841","2,554","2,287",,,,,,,,,,,,,,,
60-64,"3,323","1,643","1,680",0,0,0,"3,323","1,643","1,680",,"4,448","2,398","2,050",0,0,0,"4,448","2,398","2,050",,,,,,,,,,,,,,,
65-69,"1,952",957,995,0,0,0,"1,952",957,995,,"2,472","1,359","1,113",0,0,0,"2,472","1,359","1,113",,,,,,,,,,,,,,,
70-74,"1,931",826,"1,105",0,0,0,"1,931",826,"1,105",,"2,164","1,037","1,127",0,0,0,"2,164","1,037","1,127",,,,,,,,,,,,,,,
75-79,959,415,544,0,0,0,959,415,544,,932,470,462,0,0,0,932,470,462,,,,,,,,,,,,,,,
80+,"1,257",452,805,0,0,0,"1,257",452,805,,"1,467",555,912,0,0,0,"1,467",555,912,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 54.0 Kaskazini Pemba Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 54.0 Kaskazini Pemba Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"185,326","90,517","94,809","154,747","75,921","78,826","30,579","14,596","15,983",,"209,802","102,143","107,659","171,023","83,774","87,249","38,779","18,369","20,410",,,,,,,,,,,,,,,
0-4,"32,557","16,410","16,147","27,560","13,913","13,647","4,997","2,497","2,500",,"37,067","18,759","18,308","30,818","15,650","15,168","6,249","3,109","3,140",,,,,,,,,,,,,,,
9-May,"30,171","15,320","14,851","25,694","13,089","12,605","4,477","2,231","2,246",,"33,777","17,337","16,440","28,133","14,528","13,605","5,644","2,809","2,835",,,,,,,,,,,,,,,
4-Oct,"28,090","14,497","13,593","23,593","12,314","11,279","4,497","2,183","2,314",,"29,636","15,057","14,579","24,085","12,389","11,696","5,551","2,668","2,883",,,,,,,,,,,,,,,
15-19,"21,102","10,495","10,607","17,412","8,739","8,673","3,690","1,756","1,934",,"23,885","11,627","12,258","19,240","9,390","9,850","4,645","2,237","2,408",,,,,,,,,,,,,,,
20-24,"13,385","6,045","7,340","10,719","4,886","5,833","2,666","1,159","1,507",,"16,192","7,246","8,946","12,878","5,790","7,088","3,314","1,456","1,858",,,,,,,,,,,,,,,
25-29,"11,599","4,955","6,644","9,539","4,056","5,483","2,060",899,"1,161",,"12,051","5,433","6,618","9,602","4,347","5,255","2,449","1,086","1,363",,,,,,,,,,,,,,,
30-34,"9,850","4,058","5,792","8,116","3,293","4,823","1,734",765,969,,"9,949","4,500","5,449","7,901","3,559","4,342","2,048",941,"1,107",,,,,,,,,,,,,,,
35-39,"9,106","4,052","5,054","7,465","3,330","4,135","1,641",722,919,,"9,521","4,028","5,493","7,709","3,276","4,433","1,812",752,"1,060",,,,,,,,,,,,,,,
40-44,"7,482","3,542","3,940","6,175","2,875","3,300","1,307",667,640,,"8,225","3,449","4,776","6,645","2,810","3,835","1,580",639,941,,,,,,,,,,,,,,,
45-49,"5,324","2,751","2,573","4,389","2,263","2,126",935,488,447,,"8,852","3,604","5,248","6,914","2,875","4,039","1,938",729,"1,209",,,,,,,,,,,,,,,
50-54,"5,002","2,257","2,745","4,154","1,864","2,290",848,393,455,,"6,561","3,318","3,243","5,311","2,638","2,673","1,250",680,570,,,,,,,,,,,,,,,
55-59,"2,776","1,420","1,356","2,276","1,173","1,103",500,247,253,,"3,688","2,119","1,569","3,040","1,734","1,306",648,385,263,,,,,,,,,,,,,,,
60-64,"3,404","1,793","1,611","2,901","1,536","1,365",503,257,246,,"3,828","2,110","1,718","3,164","1,731","1,433",664,379,285,,,,,,,,,,,,,,,
65-69,"1,764",935,829,"1,496",806,690,268,129,139,,"2,010","1,084",926,"1,710",930,780,300,154,146,,,,,,,,,,,,,,,
70-74,"1,777",979,798,"1,548",881,667,229,98,131,,"2,154","1,149","1,005","1,805",979,826,349,170,179,,,,,,,,,,,,,,,
75-79,630,350,280,549,308,241,81,42,39,,906,526,380,774,459,315,132,67,65,,,,,,,,,,,,,,,
80+,"1,307",658,649,"1,161",595,566,146,63,83,,"1,500",797,703,"1,294",689,605,206,108,98,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 54.1 Wete District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 54.1 Wete District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"102,060","49,784","52,276","77,077","37,811","39,266","24,983","11,973","13,010",,"107,036","51,770","55,266","75,589","36,982","38,607","31,447","14,788","16,659",,,,,,,,,,,,,,,
0-4,"17,038","8,573","8,465","13,042","6,576","6,466","3,996","1,997","1,999",,"18,560","9,404","9,156","13,582","6,971","6,611","4,978","2,433","2,545",,,,,,,,,,,,,,,
9-May,"16,086","8,147","7,939","12,522","6,371","6,151","3,564","1,776","1,788",,"16,591","8,401","8,190","12,012","6,155","5,857","4,579","2,246","2,333",,,,,,,,,,,,,,,
4-Oct,"15,802","8,131","7,671","12,098","6,310","5,788","3,704","1,821","1,883",,"14,885","7,510","7,375","10,423","5,370","5,053","4,462","2,140","2,322",,,,,,,,,,,,,,,
15-19,"12,056","5,972","6,084","9,020","4,523","4,497","3,036","1,449","1,587",,"12,179","5,958","6,221","8,431","4,161","4,270","3,748","1,797","1,951",,,,,,,,,,,,,,,
20-24,"7,855","3,651","4,204","5,620","2,675","2,945","2,235",976,"1,259",,"8,416","3,770","4,646","5,794","2,594","3,200","2,622","1,176","1,446",,,,,,,,,,,,,,,
25-29,"6,350","2,772","3,578","4,631","2,003","2,628","1,719",769,950,,"6,021","2,706","3,315","4,013","1,840","2,173","2,008",866,"1,142",,,,,,,,,,,,,,,
30-34,"5,254","2,170","3,084","3,832","1,541","2,291","1,422",629,793,,"5,168","2,454","2,714","3,453","1,667","1,786","1,715",787,928,,,,,,,,,,,,,,,
35-39,"4,954","2,201","2,753","3,639","1,625","2,014","1,315",576,739,,"4,676","1,965","2,711","3,203","1,348","1,855","1,473",617,856,,,,,,,,,,,,,,,
40-44,"4,163","1,941","2,222","3,071","1,375","1,696","1,092",566,526,,"4,363","1,774","2,589","3,075","1,259","1,816","1,288",515,773,,,,,,,,,,,,,,,
45-49,"2,905","1,476","1,429","2,136","1,078","1,058",769,398,371,,"4,854","1,866","2,988","3,229","1,258","1,971","1,625",608,"1,017",,,,,,,,,,,,,,,
50-54,"2,814","1,249","1,565","2,112",916,"1,196",702,333,369,,"3,533","1,766","1,767","2,490","1,191","1,299","1,043",575,468,,,,,,,,,,,,,,,
55-59,"1,576",796,780,"1,168",591,577,408,205,203,,"2,014","1,140",874,"1,473",828,645,541,312,229,,,,,,,,,,,,,,,
60-64,"2,014","1,069",945,"1,583",855,728,431,214,217,,"2,119","1,143",976,"1,585",849,736,534,294,240,,,,,,,,,,,,,,,
65-69,966,500,466,754,399,355,212,101,111,,"1,079",569,510,841,449,392,238,120,118,,,,,,,,,,,,,,,
70-74,"1,048",554,494,856,476,380,192,78,114,,"1,234",645,589,932,494,438,302,151,151,,,,,,,,,,,,,,,
75-79,352,188,164,284,152,132,68,36,32,,491,270,221,371,212,159,120,58,62,,,,,,,,,,,,,,,
80+,827,394,433,709,345,364,118,49,69,,853,429,424,682,336,346,171,93,78,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 54.2 Micheweni District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 54.2 Micheweni District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"83,266","40,733","42,533","77,670","38,110","39,560","5,596","2,623","2,973",,"102,766","50,373","52,393","95,434","46,792","48,642","7,332","3,581","3,751",,,,,,,,,,,,,,,
0-4,"15,519","7,837","7,682","14,518","7,337","7,181","1,001",500,501,,"18,507","9,355","9,152","17,236","8,679","8,557","1,271",676,595,,,,,,,,,,,,,,,
9-May,"14,085","7,173","6,912","13,172","6,718","6,454",913,455,458,,"17,186","8,936","8,250","16,121","8,373","7,748","1,065",563,502,,,,,,,,,,,,,,,
4-Oct,"12,288","6,366","5,922","11,495","6,004","5,491",793,362,431,,"14,751","7,547","7,204","13,662","7,019","6,643","1,089",528,561,,,,,,,,,,,,,,,
15-19,"9,046","4,523","4,523","8,392","4,216","4,176",654,307,347,,"11,706","5,669","6,037","10,809","5,229","5,580",897,440,457,,,,,,,,,,,,,,,
20-24,"5,530","2,394","3,136","5,099","2,211","2,888",431,183,248,,"7,776","3,476","4,300","7,084","3,196","3,888",692,280,412,,,,,,,,,,,,,,,
25-29,"5,249","2,183","3,066","4,908","2,053","2,855",341,130,211,,"6,030","2,727","3,303","5,589","2,507","3,082",441,220,221,,,,,,,,,,,,,,,
30-34,"4,596","1,888","2,708","4,284","1,752","2,532",312,136,176,,"4,781","2,046","2,735","4,448","1,892","2,556",333,154,179,,,,,,,,,,,,,,,
35-39,"4,152","1,851","2,301","3,826","1,705","2,121",326,146,180,,"4,845","2,063","2,782","4,506","1,928","2,578",339,135,204,,,,,,,,,,,,,,,
40-44,"3,319","1,601","1,718","3,104","1,500","1,604",215,101,114,,"3,862","1,675","2,187","3,570","1,551","2,019",292,124,168,,,,,,,,,,,,,,,
45-49,"2,419","1,275","1,144","2,253","1,185","1,068",166,90,76,,"3,998","1,738","2,260","3,685","1,617","2,068",313,121,192,,,,,,,,,,,,,,,
50-54,"2,188","1,008","1,180","2,042",948,"1,094",146,60,86,,"3,028","1,552","1,476","2,821","1,447","1,374",207,105,102,,,,,,,,,,,,,,,
55-59,"1,200",624,576,"1,108",582,526,92,42,50,,"1,674",979,695,"1,567",906,661,107,73,34,,,,,,,,,,,,,,,
60-64,"1,390",724,666,"1,318",681,637,72,43,29,,"1,709",967,742,"1,579",882,697,130,85,45,,,,,,,,,,,,,,,
65-69,798,435,363,742,407,335,56,28,28,,931,515,416,869,481,388,62,34,28,,,,,,,,,,,,,,,
70-74,729,425,304,692,405,287,37,20,17,,920,504,416,873,485,388,47,19,28,,,,,,,,,,,,,,,
75-79,278,162,116,265,156,109,13,6,7,,415,256,159,403,247,156,12,9,3,,,,,,,,,,,,,,,
80+,480,264,216,452,250,202,28,14,14,,647,368,279,612,353,259,35,15,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 55.0 Kusini Pemba Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 55.0 Kusini Pemba Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"175,471","85,414","90,057","144,013","70,523","73,490","31,458","14,891","16,567",,"193,228","92,793","100,435","154,789","75,052","79,737","38,439","17,741","20,698",,,,,,,,,,,,,,,
0-4,"30,298","15,251","15,047","25,172","12,733","12,439","5,126","2,518","2,608",,"33,062","16,546","16,516","27,284","13,620","13,664","5,778","2,926","2,852",,,,,,,,,,,,,,,
9-May,"28,633","14,566","14,067","24,041","12,357","11,684","4,592","2,209","2,383",,"31,401","15,992","15,409","25,736","13,305","12,431","5,665","2,687","2,978",,,,,,,,,,,,,,,
4-Oct,"26,060","13,359","12,701","21,545","11,192","10,353","4,515","2,167","2,348",,"28,219","14,421","13,798","22,438","11,653","10,785","5,781","2,768","3,013",,,,,,,,,,,,,,,
15-19,"19,847","9,573","10,274","16,168","7,855","8,313","3,679","1,718","1,961",,"22,152","10,660","11,492","17,646","8,691","8,955","4,506","1,969","2,537",,,,,,,,,,,,,,,
20-24,"13,826","6,246","7,580","11,098","5,026","6,072","2,728","1,220","1,508",,"15,042","6,461","8,581","11,751","5,103","6,648","3,291","1,358","1,933",,,,,,,,,,,,,,,
25-29,"11,598","5,153","6,445","9,263","4,073","5,190","2,335","1,080","1,255",,"11,597","4,930","6,667","8,974","3,842","5,132","2,623","1,088","1,535",,,,,,,,,,,,,,,
30-34,"9,245","3,959","5,286","7,433","3,155","4,278","1,812",804,"1,008",,"9,303","4,015","5,288","7,145","3,047","4,098","2,158",968,"1,190",,,,,,,,,,,,,,,
35-39,"8,543","3,838","4,705","6,899","3,083","3,816","1,644",755,889,,"8,592","3,601","4,991","6,761","2,838","3,923","1,831",763,"1,068",,,,,,,,,,,,,,,
40-44,"6,782","3,235","3,547","5,430","2,570","2,860","1,352",665,687,,"7,422","3,234","4,188","5,883","2,539","3,344","1,539",695,844,,,,,,,,,,,,,,,
45-49,"4,743","2,370","2,373","3,847","1,923","1,924",896,447,449,,"6,782","3,170","3,612","5,347","2,505","2,842","1,435",665,770,,,,,,,,,,,,,,,
50-54,"4,651","2,201","2,450","3,781","1,813","1,968",870,388,482,,"6,120","2,815","3,305","4,853","2,196","2,657","1,267",619,648,,,,,,,,,,,,,,,
55-59,"2,827","1,500","1,327","2,304","1,250","1,054",523,250,273,,"3,393","1,852","1,541","2,690","1,479","1,211",703,373,330,,,,,,,,,,,,,,,
60-64,"3,203","1,598","1,605","2,657","1,302","1,355",546,296,250,,"3,658","1,815","1,843","2,941","1,487","1,454",717,328,389,,,,,,,,,,,,,,,
65-69,"1,629",789,840,"1,342",663,679,287,126,161,,"1,953","1,053",900,"1,597",872,725,356,181,175,,,,,,,,,,,,,,,
70-74,"1,684",876,808,"1,410",742,668,274,134,140,,"2,146","1,060","1,086","1,781",898,883,365,162,203,,,,,,,,,,,,,,,
75-79,726,389,337,626,342,284,100,47,53,,893,473,420,721,389,332,172,84,88,,,,,,,,,,,,,,,
80+,"1,176",511,665,997,444,553,179,67,112,,"1,493",695,798,"1,241",588,653,252,107,145,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 55.1  Chake Chake District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 55.1  Chake Chake District : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"82,998","40,223","42,775","63,715","31,224","32,491","19,283","8,999","10,284",,"96,517","45,967","50,550","69,128","33,417","35,711","27,389","12,550","14,839",,,,,,,,,,,,,,,
0-4,"14,167","7,149","7,018","10,941","5,565","5,376","3,226","1,584","1,642",,"16,025","7,958","8,067","11,918","5,897","6,021","4,107","2,061","2,046",,,,,,,,,,,,,,,
9-May,"13,430","6,791","6,639","10,505","5,391","5,114","2,925","1,400","1,525",,"15,422","7,681","7,741","11,330","5,767","5,563","4,092","1,914","2,178",,,,,,,,,,,,,,,
4-Oct,"12,530","6,353","6,177","9,728","5,025","4,703","2,802","1,328","1,474",,"14,125","7,118","7,007","10,010","5,170","4,840","4,115","1,948","2,167",,,,,,,,,,,,,,,
15-19,"9,450","4,551","4,899","7,212","3,540","3,672","2,238","1,011","1,227",,"11,381","5,483","5,898","8,087","4,043","4,044","3,294","1,440","1,854",,,,,,,,,,,,,,,
20-24,"6,681","2,962","3,719","5,040","2,257","2,783","1,641",705,936,,"7,857","3,381","4,476","5,474","2,407","3,067","2,383",974,"1,409",,,,,,,,,,,,,,,
25-29,"5,390","2,340","3,050","3,982","1,732","2,250","1,408",608,800,,"5,970","2,530","3,440","4,076","1,740","2,336","1,894",790,"1,104",,,,,,,,,,,,,,,
30-34,"4,386","1,881","2,505","3,274","1,401","1,873","1,112",480,632,,"4,856","2,132","2,724","3,295","1,449","1,846","1,561",683,878,,,,,,,,,,,,,,,
35-39,"4,072","1,790","2,282","3,058","1,337","1,721","1,014",453,561,,"4,304","1,782","2,522","3,018","1,250","1,768","1,286",532,754,,,,,,,,,,,,,,,
40-44,"3,309","1,603","1,706","2,467","1,178","1,289",842,425,417,,"3,707","1,633","2,074","2,613","1,143","1,470","1,094",490,604,,,,,,,,,,,,,,,
45-49,"2,304","1,179","1,125","1,769",899,870,535,280,255,,"3,396","1,549","1,847","2,385","1,078","1,307","1,011",471,540,,,,,,,,,,,,,,,
50-54,"2,200","1,050","1,150","1,700",828,872,500,222,278,,"3,043","1,424","1,619","2,176",993,"1,183",867,431,436,,,,,,,,,,,,,,,
55-59,"1,337",720,617,"1,029",575,454,308,145,163,,"1,661",900,761,"1,190",646,544,471,254,217,,,,,,,,,,,,,,,
60-64,"1,439",745,694,"1,146",584,562,293,161,132,,"1,741",872,869,"1,263",648,615,478,224,254,,,,,,,,,,,,,,,
65-69,728,356,372,570,285,285,158,71,87,,912,497,415,679,380,299,233,117,116,,,,,,,,,,,,,,,
70-74,715,359,356,571,285,286,144,74,70,,"1,007",493,514,756,386,370,251,107,144,,,,,,,,,,,,,,,
75-79,331,164,167,286,146,140,45,18,27,,418,216,202,314,162,152,104,54,50,,,,,,,,,,,,,,,
80+,529,230,299,437,196,241,92,34,58,,692,318,374,544,258,286,148,60,88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 55.2  Mkoani District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 55.2  Mkoani District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"92,473","45,191","47,282","80,298","39,299","40,999","12,175","5,892","6,283",,"96,711","46,826","49,885","85,661","41,635","44,026","11,050","5,191","5,859",,,,,,,,,,,,,,,
0-4,"16,131","8,102","8,029","14,231","7,168","7,063","1,900",934,966,,"17,037","8,588","8,449","15,366","7,723","7,643","1,671",865,806,,,,,,,,,,,,,,,
9-May,"15,203","7,775","7,428","13,536","6,966","6,570","1,667",809,858,,"15,979","8,311","7,668","14,406","7,538","6,868","1,573",773,800,,,,,,,,,,,,,,,
4-Oct,"13,530","7,006","6,524","11,817","6,167","5,650","1,713",839,874,,"14,094","7,303","6,791","12,428","6,483","5,945","1,666",820,846,,,,,,,,,,,,,,,
15-19,"10,397","5,022","5,375","8,956","4,315","4,641","1,441",707,734,,"10,771","5,177","5,594","9,559","4,648","4,911","1,212",529,683,,,,,,,,,,,,,,,
20-24,"7,145","3,284","3,861","6,058","2,769","3,289","1,087",515,572,,"7,185","3,080","4,105","6,277","2,696","3,581",908,384,524,,,,,,,,,,,,,,,
25-29,"6,208","2,813","3,395","5,281","2,341","2,940",927,472,455,,"5,627","2,400","3,227","4,898","2,102","2,796",729,298,431,,,,,,,,,,,,,,,
30-34,"4,859","2,078","2,781","4,159","1,754","2,405",700,324,376,,"4,447","1,883","2,564","3,850","1,598","2,252",597,285,312,,,,,,,,,,,,,,,
35-39,"4,471","2,048","2,423","3,841","1,746","2,095",630,302,328,,"4,288","1,819","2,469","3,743","1,588","2,155",545,231,314,,,,,,,,,,,,,,,
40-44,"3,473","1,632","1,841","2,963","1,392","1,571",510,240,270,,"3,715","1,601","2,114","3,270","1,396","1,874",445,205,240,,,,,,,,,,,,,,,
